Title,Description,Category, Weight, MaxScore, ScoreLogic, 
IconURL,IconURL present,Metadata,10,1, $Module.IconUrl.Length -gt 0,
ProjectUrl,ProjectURL present,Metadata,10,1, $Module.ProjectUrl.Length -gt 0,
LicenseUrl,LicenseURL present,Metadata,10,1, $Module.LicenseUrl.Length -gt 0,
Description,Description has more than 100 charactrers,Metadata,10,1, $Module.Description.Length -gt 100,
ReleaseNotes,ReleaseNotes present,Metadata,10,1, $Module.ReleaseNotes.Length -ne 0,
TagsCount,More than 5 tags are present,Metadata,10,1, [int]$Module.TagsCount -gt 5,
ItemType,ItemType is Module,Metadata,10,1,"$Module.ItemType -eq ""Module""",
OwnerCount,More than 1 owner,Metadata,10,1, [int]$Module.OwnersCount -gt 1,
MultipleVersions,Module has more than one version published,Metadata,10,1, [int]$Module.DownloadCount -gt  $Module.VersionDownloadCount,
DownloadCount,More than 500 downloads,Metadata,10,1, [int]$Module.DownloadCount -gt 500,
